text,label
diri sendiri sangat gelisah,1
Tidur menganggap sulit untuk memikirkan tentang hati yang kacau gelisah,1
"semua -wrong mundur, sayang, ragu -ragu untuk tetap wafel gelisah",1
Titik fokus fokus nlandin dengan cemas,1
"Admin gelisah yang gelisah, coy meanxx",1
istirahat gelisah seperti aneh,1
"takut kecemasan, saya berharap keluarga yang dilindungi kepercayaan",1
Lihatkan perasaan kecemasan yang diketahui,1
Udaa 2 hari tidur sekarat saya sangat terdengar cemas,1
benar -benar mengirimkan barang yang khawatir tentang kemenangan,1
cedera hukum malam yang gelisah tahu aneh,1
diperkirakan bingung benar -benar bagus untuk tidur dengan kegelisahan,1
"Terkadang terkadang dibutuhkan oleh jiwa untuk melupakan ketika itu gugup, jadi anjing sedih, sedih. Asdfghjklzxcvbnm",1
minat khawatir,1
Terkadang berpikir membuat ketakutan cemas untuk sekarat menutup matanya untuk tidur,1
Bangun dengan gugup Degan Fire Up Coba,1
Saya berharap semoga mempercayai awal,1
Resave tidak puas yang gelisah,1
SALI asli Grevemarah Halhal menempatkan latihan benar benar,1
"seorang pria yang sakit, seorang gadis sakit yang mendidih segera merasa tenang dan tenang",1
Orang -orang khawatir bahwa orang banyak orang yang tulus khawatir,1
Jaya tidak puas online pada jam 9 pagi tidur gelisah salah saya,1
Dapatkan Tidorrrrbisa Bawa,1
Telepon Ngangjat Headphone Cemas,1
agitasi apologia yang gelisah mohon maaf bagus,1
Pagi yang sangat tidak puas gelisah,1
Membuatmu gelisah,1
Antuk tidak puas gelisah saat tidur,1
Saya adalah suasana hati yang sesuai seperti detak yang sangat kuat sangat gugup,1
"Sungguh, RA sesuai gugup seperti blok",1
"Luka rapuh yang patah bisa melukai yang tahan terhadap kesayangan sayangku untuk melihat tinggal, ya?",1
"Saran lagu membuat Anda tenang mengetahui, gusargelisah, terima kasih, terima kasih",1
Terooosss tidak puas yang gelisah huuu,1
Kecemburuan Hati Kebangkrutan Kegagalan Kecewaan Jelas,1
Biasanya saya pikir sekolah dasar khawatir,1
"Sensitivitas kemarin kemarin sangat parah, goncangan frustrasi di hari syok membuat otak saya banyak orang yang dalam suasana hati Turuntpi sangat berterima kasih",1
Malam oceh uang saya bingung tentang nox yang mengatakan uang khawatir oceh uang,1
Sangat gelisah sendiri gelisah,1
Ya Tuhan tidak puas gelisah,1
Mulut Hati Saraf Gelisah Berbicara,1
"Puting Tunggu ketidakpastian, harap khawatir",1
Orang -orang yang khawatir yang minat tulus,1
